id,faculty_id/id,program_id/id,category,date_start,date_end
accred_mptrcs_01,fac_mptrcs_01,prog_mptrcs,permanent,2021-01-01,
accred_mptrcs_02,fac_mptrcs_02,prog_mptrcs,permanent,2021-01-01,
accred_mptrcs_03,fac_mptrcs_03,prog_mptrcs,permanent,2021-01-01,
accred_mptrcs_04,fac_mptrcs_04,prog_mptrcs,permanent,2021-01-01,
accred_mptrcs_05,fac_mptrcs_05,prog_mptrcs,permanent,2021-01-01,
accred_mptrcs_06,fac_mptrcs_06,prog_mptrcs,permanent,2021-01-01,
accred_mptrcs_07,fac_mptrcs_07,prog_mptrcs,permanent,2021-01-01,
accred_mptrcs_08,fac_mptrcs_08,prog_mptrcs,permanent,2021-01-01,
accred_mptrcs_09,fac_mptrcs_09,prog_mptrcs,permanent,2021-01-01,
accred_mptrcs_10,fac_mptrcs_10,prog_mptrcs,permanent,2021-01-01,
accred_mptrcs_11,fac_mptrcs_11,prog_mptrcs,permanent,2021-01-01,
accred_mptrcs_12,fac_mptrcs_12,prog_mptrcs,permanent,2021-01-01,
