id,program_link_id/id,category,start_date,end_date,document_ref,notes
fac_led_mptrcs_01,link_fac_mptrcs_01_prog_mptrcs,permanent,2021-01-01,,Portaria DIR-IPEN 001/2021,Credenciamento Permanente CPG
fac_led_mptrcs_02,link_fac_mptrcs_02_prog_mptrcs,permanent,2021-01-01,,Portaria DIR-IPEN 002/2021,Credenciamento Permanente CPG
fac_led_mptrcs_03,link_fac_mptrcs_03_prog_mptrcs,permanent,2021-01-01,,Portaria DIR-IPEN 003/2021,Credenciamento Permanente CPG
fac_led_mptrcs_04,link_fac_mptrcs_04_prog_mptrcs,permanent,2021-01-01,,Portaria DIR-IPEN 004/2021,Credenciamento Permanente CPG
fac_led_mptrcs_05,link_fac_mptrcs_05_prog_mptrcs,permanent,2021-01-01,,Portaria DIR-IPEN 005/2021,Credenciamento Permanente CPG
fac_led_mptrcs_06,link_fac_mptrcs_06_prog_mptrcs,permanent,2021-01-01,,Portaria DIR-IPEN 006/2021,Credenciamento Permanente CPG
fac_led_mptrcs_07,link_fac_mptrcs_07_prog_mptrcs,permanent,2021-01-01,,Portaria DIR-IPEN 007/2021,Credenciamento Permanente CPG
fac_led_mptrcs_08,link_fac_mptrcs_08_prog_mptrcs,permanent,2021-01-01,,Portaria DIR-IPEN 008/2021,Credenciamento Permanente CPG
fac_led_mptrcs_09,link_fac_mptrcs_09_prog_mptrcs,permanent,2021-01-01,,Portaria DIR-IPEN 009/2021,Credenciamento Permanente CPG
fac_led_mptrcs_10,link_fac_mptrcs_10_prog_mptrcs,permanent,2021-01-01,,Portaria DIR-IPEN 010/2021,Credenciamento Permanente CPG
fac_led_mptrcs_11,link_fac_mptrcs_11_prog_mptrcs,permanent,2021-01-01,,Portaria DIR-IPEN 011/2021,Credenciamento Permanente CPG
fac_led_mptrcs_12,link_fac_mptrcs_12_prog_mptrcs,permanent,2021-01-01,,Portaria DIR-IPEN 012/2021,Credenciamento Permanente CPG
