id,student_id/id,course_id/id,batch_id/id,program_id/id,curriculum_version_id/id,course_type,state,admission_date,completion_date
link_stu_mptrcs_t1_01,stu_mptrcs_t1_01,crs_ipen_mptrcs,batch_ipen_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_02,stu_mptrcs_t1_02,crs_ipen_mptrcs,batch_ipen_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_03,stu_mptrcs_t1_03,crs_ipen_mptrcs,batch_ipen_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_04,stu_mptrcs_t1_04,crs_ipen_mptrcs,batch_ipen_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_05,stu_mptrcs_t1_05,crs_ipen_mptrcs,batch_ipen_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_06,stu_mptrcs_t1_06,crs_ipen_mptrcs,batch_ipen_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_07,stu_mptrcs_t1_07,crs_ipen_mptrcs,batch_ipen_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_08,stu_mptrcs_t1_08,crs_ipen_mptrcs,batch_ipen_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_09,stu_mptrcs_t1_09,crs_ipen_mptrcs,batch_ipen_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_10,stu_mptrcs_t1_10,crs_ipen_mptrcs,batch_ipen_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_11,stu_mptrcs_t1_11,crs_ipen_mptrcs,batch_ipen_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_12,stu_mptrcs_t1_12,crs_ipen_mptrcs,batch_ipen_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_13,stu_mptrcs_t1_13,crs_ipen_mptrcs,batch_ipen_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_14,stu_mptrcs_t1_14,crs_ipen_mptrcs,batch_ipen_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
