id,student_id/id,curriculum_version_id/id,subject_id/id,course_name,credit_type,credits,hours,grade_concept,is_approved,date_earned,origin_ref
led_stu_mptrcs_t1_01_rad501,stu_mptrcs_t1_01,reg_mptrcs_v2,sub_mptrcs_rad501,Fundamentos de Radiobiologia e Proteção Radiológica,subject_internal,4,60,B,True,2022-06-30,Turma 1 Sem 1
led_stu_mptrcs_t1_01_rad502,stu_mptrcs_t1_01,reg_mptrcs_v2,sub_mptrcs_rad502,Metodologia Científica e Elaboração de PTT,subject_internal,4,60,B,True,2022-06-30,Turma 1 Sem 1
led_stu_mptrcs_t1_01_rad503,stu_mptrcs_t1_01,reg_mptrcs_v2,sub_mptrcs_rad503,Seminários Gerais em Tecnologia das Radiações,subject_internal,2,30,B,True,2022-06-30,Turma 1 Sem 1
led_stu_mptrcs_t1_01_rad510,stu_mptrcs_t1_01,reg_mptrcs_v2,sub_mptrcs_rad510,Dosimetria Física e Clínica em Radioterapia,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_01_rad511,stu_mptrcs_t1_01,reg_mptrcs_v2,sub_mptrcs_rad511,Controle de Qualidade em Aceleradores Lineares,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_01_rad512,stu_mptrcs_t1_01,reg_mptrcs_v2,sub_mptrcs_rad512,Braquiterapia Avançada e Implante de Sementes,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_01_rad520,stu_mptrcs_t1_01,reg_mptrcs_v2,sub_mptrcs_rad520,Radiofarmácia e Radioimunologia,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_01_rad521,stu_mptrcs_t1_01,reg_mptrcs_v2,sub_mptrcs_rad521,Instrumentação em PET/SPECT e Imagem Molecular,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_01_rad522,stu_mptrcs_t1_01,reg_mptrcs_v2,sub_mptrcs_rad522,Gerenciamento de Rejeitos Radioativos em Serviços de Saúde,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_01_apo,stu_mptrcs_t1_01,reg_mptrcs_v2,,Seminários de Acompanhamento e Desenvolvimento de PTT,apo,8,120,A,True,2023-11-30,Turma 1 APO
led_stu_mptrcs_t1_01_def,stu_mptrcs_t1_01,reg_mptrcs_v2,,Defesa Pública de Dissertação e Produto Tecnológico,milestone,52,780,A,True,2024-04-15,Turma 1 Defesa
led_stu_mptrcs_t1_02_rad501,stu_mptrcs_t1_02,reg_mptrcs_v2,sub_mptrcs_rad501,Fundamentos de Radiobiologia e Proteção Radiológica,subject_internal,4,60,A,True,2022-06-30,Turma 1 Sem 1
led_stu_mptrcs_t1_02_rad502,stu_mptrcs_t1_02,reg_mptrcs_v2,sub_mptrcs_rad502,Metodologia Científica e Elaboração de PTT,subject_internal,4,60,A,True,2022-06-30,Turma 1 Sem 1
led_stu_mptrcs_t1_02_rad503,stu_mptrcs_t1_02,reg_mptrcs_v2,sub_mptrcs_rad503,Seminários Gerais em Tecnologia das Radiações,subject_internal,2,30,A,True,2022-06-30,Turma 1 Sem 1
led_stu_mptrcs_t1_02_rad510,stu_mptrcs_t1_02,reg_mptrcs_v2,sub_mptrcs_rad510,Dosimetria Física e Clínica em Radioterapia,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_02_rad511,stu_mptrcs_t1_02,reg_mptrcs_v2,sub_mptrcs_rad511,Controle de Qualidade em Aceleradores Lineares,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_02_rad512,stu_mptrcs_t1_02,reg_mptrcs_v2,sub_mptrcs_rad512,Braquiterapia Avançada e Implante de Sementes,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_02_rad520,stu_mptrcs_t1_02,reg_mptrcs_v2,sub_mptrcs_rad520,Radiofarmácia e Radioimunologia,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_02_rad521,stu_mptrcs_t1_02,reg_mptrcs_v2,sub_mptrcs_rad521,Instrumentação em PET/SPECT e Imagem Molecular,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_02_rad522,stu_mptrcs_t1_02,reg_mptrcs_v2,sub_mptrcs_rad522,Gerenciamento de Rejeitos Radioativos em Serviços de Saúde,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_02_apo,stu_mptrcs_t1_02,reg_mptrcs_v2,,Seminários de Acompanhamento e Desenvolvimento de PTT,apo,8,120,A,True,2023-11-30,Turma 1 APO
led_stu_mptrcs_t1_02_def,stu_mptrcs_t1_02,reg_mptrcs_v2,,Defesa Pública de Dissertação e Produto Tecnológico,milestone,52,780,A,True,2024-04-15,Turma 1 Defesa
led_stu_mptrcs_t1_03_rad501,stu_mptrcs_t1_03,reg_mptrcs_v2,sub_mptrcs_rad501,Fundamentos de Radiobiologia e Proteção Radiológica,subject_internal,4,60,B,True,2022-06-30,Turma 1 Sem 1
led_stu_mptrcs_t1_03_rad502,stu_mptrcs_t1_03,reg_mptrcs_v2,sub_mptrcs_rad502,Metodologia Científica e Elaboração de PTT,subject_internal,4,60,B,True,2022-06-30,Turma 1 Sem 1
led_stu_mptrcs_t1_03_rad503,stu_mptrcs_t1_03,reg_mptrcs_v2,sub_mptrcs_rad503,Seminários Gerais em Tecnologia das Radiações,subject_internal,2,30,B,True,2022-06-30,Turma 1 Sem 1
led_stu_mptrcs_t1_03_rad510,stu_mptrcs_t1_03,reg_mptrcs_v2,sub_mptrcs_rad510,Dosimetria Física e Clínica em Radioterapia,subject_internal,4,60,B,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_03_rad511,stu_mptrcs_t1_03,reg_mptrcs_v2,sub_mptrcs_rad511,Controle de Qualidade em Aceleradores Lineares,subject_internal,4,60,B,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_03_rad512,stu_mptrcs_t1_03,reg_mptrcs_v2,sub_mptrcs_rad512,Braquiterapia Avançada e Implante de Sementes,subject_internal,4,60,B,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_03_rad520,stu_mptrcs_t1_03,reg_mptrcs_v2,sub_mptrcs_rad520,Radiofarmácia e Radioimunologia,subject_internal,4,60,B,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_03_rad521,stu_mptrcs_t1_03,reg_mptrcs_v2,sub_mptrcs_rad521,Instrumentação em PET/SPECT e Imagem Molecular,subject_internal,4,60,B,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_03_rad522,stu_mptrcs_t1_03,reg_mptrcs_v2,sub_mptrcs_rad522,Gerenciamento de Rejeitos Radioativos em Serviços de Saúde,subject_internal,4,60,B,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_03_apo,stu_mptrcs_t1_03,reg_mptrcs_v2,,Seminários de Acompanhamento e Desenvolvimento de PTT,apo,8,120,A,True,2023-11-30,Turma 1 APO
led_stu_mptrcs_t1_03_def,stu_mptrcs_t1_03,reg_mptrcs_v2,,Defesa Pública de Dissertação e Produto Tecnológico,milestone,52,780,A,True,2024-04-15,Turma 1 Defesa
led_stu_mptrcs_t1_04_rad501,stu_mptrcs_t1_04,reg_mptrcs_v2,sub_mptrcs_rad501,Fundamentos de Radiobiologia e Proteção Radiológica,subject_internal,4,60,A,True,2022-06-30,Turma 1 Sem 1
led_stu_mptrcs_t1_04_rad502,stu_mptrcs_t1_04,reg_mptrcs_v2,sub_mptrcs_rad502,Metodologia Científica e Elaboração de PTT,subject_internal,4,60,A,True,2022-06-30,Turma 1 Sem 1
led_stu_mptrcs_t1_04_rad503,stu_mptrcs_t1_04,reg_mptrcs_v2,sub_mptrcs_rad503,Seminários Gerais em Tecnologia das Radiações,subject_internal,2,30,A,True,2022-06-30,Turma 1 Sem 1
led_stu_mptrcs_t1_04_rad510,stu_mptrcs_t1_04,reg_mptrcs_v2,sub_mptrcs_rad510,Dosimetria Física e Clínica em Radioterapia,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_04_rad511,stu_mptrcs_t1_04,reg_mptrcs_v2,sub_mptrcs_rad511,Controle de Qualidade em Aceleradores Lineares,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_04_rad512,stu_mptrcs_t1_04,reg_mptrcs_v2,sub_mptrcs_rad512,Braquiterapia Avançada e Implante de Sementes,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_04_rad520,stu_mptrcs_t1_04,reg_mptrcs_v2,sub_mptrcs_rad520,Radiofarmácia e Radioimunologia,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_04_rad521,stu_mptrcs_t1_04,reg_mptrcs_v2,sub_mptrcs_rad521,Instrumentação em PET/SPECT e Imagem Molecular,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_04_rad522,stu_mptrcs_t1_04,reg_mptrcs_v2,sub_mptrcs_rad522,Gerenciamento de Rejeitos Radioativos em Serviços de Saúde,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_04_apo,stu_mptrcs_t1_04,reg_mptrcs_v2,,Seminários de Acompanhamento e Desenvolvimento de PTT,apo,8,120,A,True,2023-11-30,Turma 1 APO
led_stu_mptrcs_t1_04_def,stu_mptrcs_t1_04,reg_mptrcs_v2,,Defesa Pública de Dissertação e Produto Tecnológico,milestone,52,780,A,True,2024-04-15,Turma 1 Defesa
led_stu_mptrcs_t1_05_rad501,stu_mptrcs_t1_05,reg_mptrcs_v2,sub_mptrcs_rad501,Fundamentos de Radiobiologia e Proteção Radiológica,subject_internal,4,60,B,True,2022-06-30,Turma 1 Sem 1
led_stu_mptrcs_t1_05_rad502,stu_mptrcs_t1_05,reg_mptrcs_v2,sub_mptrcs_rad502,Metodologia Científica e Elaboração de PTT,subject_internal,4,60,B,True,2022-06-30,Turma 1 Sem 1
led_stu_mptrcs_t1_05_rad503,stu_mptrcs_t1_05,reg_mptrcs_v2,sub_mptrcs_rad503,Seminários Gerais em Tecnologia das Radiações,subject_internal,2,30,B,True,2022-06-30,Turma 1 Sem 1
led_stu_mptrcs_t1_05_rad510,stu_mptrcs_t1_05,reg_mptrcs_v2,sub_mptrcs_rad510,Dosimetria Física e Clínica em Radioterapia,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_05_rad511,stu_mptrcs_t1_05,reg_mptrcs_v2,sub_mptrcs_rad511,Controle de Qualidade em Aceleradores Lineares,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_05_rad512,stu_mptrcs_t1_05,reg_mptrcs_v2,sub_mptrcs_rad512,Braquiterapia Avançada e Implante de Sementes,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_05_rad520,stu_mptrcs_t1_05,reg_mptrcs_v2,sub_mptrcs_rad520,Radiofarmácia e Radioimunologia,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_05_rad521,stu_mptrcs_t1_05,reg_mptrcs_v2,sub_mptrcs_rad521,Instrumentação em PET/SPECT e Imagem Molecular,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_05_rad522,stu_mptrcs_t1_05,reg_mptrcs_v2,sub_mptrcs_rad522,Gerenciamento de Rejeitos Radioativos em Serviços de Saúde,subject_internal,4,60,A,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_05_apo,stu_mptrcs_t1_05,reg_mptrcs_v2,,Seminários de Acompanhamento e Desenvolvimento de PTT,apo,8,120,A,True,2023-11-30,Turma 1 APO
led_stu_mptrcs_t1_05_def,stu_mptrcs_t1_05,reg_mptrcs_v2,,Defesa Pública de Dissertação e Produto Tecnológico,milestone,52,780,A,True,2024-04-15,Turma 1 Defesa
led_stu_mptrcs_t1_06_rad501,stu_mptrcs_t1_06,reg_mptrcs_v2,sub_mptrcs_rad501,Fundamentos de Radiobiologia e Proteção Radiológica,subject_internal,4,60,A,True,2022-06-30,Turma 1 Sem 1
led_stu_mptrcs_t1_06_rad502,stu_mptrcs_t1_06,reg_mptrcs_v2,sub_mptrcs_rad502,Metodologia Científica e Elaboração de PTT,subject_internal,4,60,A,True,2022-06-30,Turma 1 Sem 1
led_stu_mptrcs_t1_06_rad503,stu_mptrcs_t1_06,reg_mptrcs_v2,sub_mptrcs_rad503,Seminários Gerais em Tecnologia das Radiações,subject_internal,2,30,A,True,2022-06-30,Turma 1 Sem 1
led_stu_mptrcs_t1_06_rad510,stu_mptrcs_t1_06,reg_mptrcs_v2,sub_mptrcs_rad510,Dosimetria Física e Clínica em Radioterapia,subject_internal,4,60,B,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_06_rad511,stu_mptrcs_t1_06,reg_mptrcs_v2,sub_mptrcs_rad511,Controle de Qualidade em Aceleradores Lineares,subject_internal,4,60,B,True,2022-12-15,Turma 1 Sem 2
led_stu_mptrcs_t1_06_rad512,stu_mptrcs_t1_06,reg_mptrcs_v2,sub_mptrcs_rad512,Braquiterapia Avançada e Implante de Sementes,subject_internal,4,60,B,True,2022-12-15,Turma 1 Sem 2
