id,student_id/id,work_plan_id/id,curriculum_version_id/id,title,doc_type,stage,status,defense_date,repository_url,advisor_id/id
thesis_stu_mptrcs_t1_01,stu_mptrcs_t1_01,wp_stu_mptrcs_t1_01,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Valenca,dissertation,defense,homologated,2024-04-15,http://repositorio.ipen.br/handle/123456789/1,fac_mptrcs_08
thesis_stu_mptrcs_t1_02,stu_mptrcs_t1_02,wp_stu_mptrcs_t1_02,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Barreto,dissertation,defense,homologated,2024-04-15,http://repositorio.ipen.br/handle/123456789/2,fac_mptrcs_11
thesis_stu_mptrcs_t1_03,stu_mptrcs_t1_03,wp_stu_mptrcs_t1_03,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Drummond,dissertation,defense,homologated,2024-04-15,http://repositorio.ipen.br/handle/123456789/3,fac_mptrcs_06
thesis_stu_mptrcs_t1_04,stu_mptrcs_t1_04,wp_stu_mptrcs_t1_04,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Lemos,dissertation,defense,homologated,2024-04-15,http://repositorio.ipen.br/handle/123456789/4,fac_mptrcs_04
thesis_stu_mptrcs_t1_05,stu_mptrcs_t1_05,wp_stu_mptrcs_t1_05,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Mello,dissertation,defense,homologated,2024-04-15,http://repositorio.ipen.br/handle/123456789/5,fac_mptrcs_07
thesis_stu_mptrcs_t1_06,stu_mptrcs_t1_06,wp_stu_mptrcs_t1_06,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Padilha,dissertation,defense,homologated,2024-04-15,http://repositorio.ipen.br/handle/123456789/6,fac_mptrcs_05
thesis_stu_mptrcs_t1_07,stu_mptrcs_t1_07,wp_stu_mptrcs_t1_07,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Ribas,dissertation,defense,homologated,2024-04-15,http://repositorio.ipen.br/handle/123456789/7,fac_mptrcs_06
thesis_stu_mptrcs_t1_08,stu_mptrcs_t1_08,wp_stu_mptrcs_t1_08,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Torres,dissertation,defense,homologated,2024-04-15,http://repositorio.ipen.br/handle/123456789/8,fac_mptrcs_06
thesis_stu_mptrcs_t1_09,stu_mptrcs_t1_09,wp_stu_mptrcs_t1_09,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Andrade,dissertation,defense,homologated,2024-04-15,http://repositorio.ipen.br/handle/123456789/9,fac_mptrcs_07
thesis_stu_mptrcs_t1_10,stu_mptrcs_t1_10,wp_stu_mptrcs_t1_10,reg_mptrcs_v2,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Dantas,dissertation,defense,homologated,2024-04-15,http://repositorio.ipen.br/handle/123456789/10,fac_mptrcs_12
