id,thesis_id/id,member_id/id,member_role,is_titular
comm_thesis_stu_mptrcs_t1_01_adv,thesis_stu_mptrcs_t1_01,fac_mptrcs_01,advisor,True
comm_thesis_stu_mptrcs_t1_01_int,thesis_stu_mptrcs_t1_01,fac_mptrcs_03,internal_evaluator,True
comm_thesis_stu_mptrcs_t1_01_ext,thesis_stu_mptrcs_t1_01,fac_mptrcs_04,external_evaluator,True
comm_thesis_stu_mptrcs_t1_02_adv,thesis_stu_mptrcs_t1_02,fac_mptrcs_02,advisor,True
comm_thesis_stu_mptrcs_t1_02_int,thesis_stu_mptrcs_t1_02,fac_mptrcs_04,internal_evaluator,True
comm_thesis_stu_mptrcs_t1_02_ext,thesis_stu_mptrcs_t1_02,fac_mptrcs_05,external_evaluator,True
comm_thesis_stu_mptrcs_t1_03_adv,thesis_stu_mptrcs_t1_03,fac_mptrcs_03,advisor,True
comm_thesis_stu_mptrcs_t1_03_int,thesis_stu_mptrcs_t1_03,fac_mptrcs_05,internal_evaluator,True
comm_thesis_stu_mptrcs_t1_03_ext,thesis_stu_mptrcs_t1_03,fac_mptrcs_06,external_evaluator,True
comm_thesis_stu_mptrcs_t1_04_adv,thesis_stu_mptrcs_t1_04,fac_mptrcs_04,advisor,True
comm_thesis_stu_mptrcs_t1_04_int,thesis_stu_mptrcs_t1_04,fac_mptrcs_06,internal_evaluator,True
comm_thesis_stu_mptrcs_t1_04_ext,thesis_stu_mptrcs_t1_04,fac_mptrcs_07,external_evaluator,True
comm_thesis_stu_mptrcs_t1_05_adv,thesis_stu_mptrcs_t1_05,fac_mptrcs_05,advisor,True
comm_thesis_stu_mptrcs_t1_05_int,thesis_stu_mptrcs_t1_05,fac_mptrcs_07,internal_evaluator,True
comm_thesis_stu_mptrcs_t1_05_ext,thesis_stu_mptrcs_t1_05,fac_mptrcs_08,external_evaluator,True
comm_thesis_stu_mptrcs_t1_06_adv,thesis_stu_mptrcs_t1_06,fac_mptrcs_06,advisor,True
comm_thesis_stu_mptrcs_t1_06_int,thesis_stu_mptrcs_t1_06,fac_mptrcs_08,internal_evaluator,True
comm_thesis_stu_mptrcs_t1_06_ext,thesis_stu_mptrcs_t1_06,fac_mptrcs_09,external_evaluator,True
comm_thesis_stu_mptrcs_t1_07_adv,thesis_stu_mptrcs_t1_07,fac_mptrcs_07,advisor,True
comm_thesis_stu_mptrcs_t1_07_int,thesis_stu_mptrcs_t1_07,fac_mptrcs_09,internal_evaluator,True
comm_thesis_stu_mptrcs_t1_07_ext,thesis_stu_mptrcs_t1_07,fac_mptrcs_10,external_evaluator,True
comm_thesis_stu_mptrcs_t1_08_adv,thesis_stu_mptrcs_t1_08,fac_mptrcs_08,advisor,True
comm_thesis_stu_mptrcs_t1_08_int,thesis_stu_mptrcs_t1_08,fac_mptrcs_10,internal_evaluator,True
comm_thesis_stu_mptrcs_t1_08_ext,thesis_stu_mptrcs_t1_08,fac_mptrcs_11,external_evaluator,True
comm_thesis_stu_mptrcs_t1_09_adv,thesis_stu_mptrcs_t1_09,fac_mptrcs_09,advisor,True
comm_thesis_stu_mptrcs_t1_09_int,thesis_stu_mptrcs_t1_09,fac_mptrcs_11,internal_evaluator,True
comm_thesis_stu_mptrcs_t1_09_ext,thesis_stu_mptrcs_t1_09,fac_mptrcs_12,external_evaluator,True
comm_thesis_stu_mptrcs_t1_10_adv,thesis_stu_mptrcs_t1_10,fac_mptrcs_10,advisor,True
comm_thesis_stu_mptrcs_t1_10_int,thesis_stu_mptrcs_t1_10,fac_mptrcs_12,internal_evaluator,True
comm_thesis_stu_mptrcs_t1_10_ext,thesis_stu_mptrcs_t1_10,fac_mptrcs_01,external_evaluator,True
comm_thesis_stu_mptrcs_t1_11_adv,thesis_stu_mptrcs_t1_11,fac_mptrcs_11,advisor,True
comm_thesis_stu_mptrcs_t1_11_int,thesis_stu_mptrcs_t1_11,fac_mptrcs_01,internal_evaluator,True
comm_thesis_stu_mptrcs_t1_11_ext,thesis_stu_mptrcs_t1_11,fac_mptrcs_02,external_evaluator,True
comm_thesis_stu_mptrcs_t1_12_adv,thesis_stu_mptrcs_t1_12,fac_mptrcs_12,advisor,True
comm_thesis_stu_mptrcs_t1_12_int,thesis_stu_mptrcs_t1_12,fac_mptrcs_02,internal_evaluator,True
comm_thesis_stu_mptrcs_t1_12_ext,thesis_stu_mptrcs_t1_12,fac_mptrcs_03,external_evaluator,True
comm_thesis_stu_mptrcs_t1_13_adv,thesis_stu_mptrcs_t1_13,fac_mptrcs_01,advisor,True
comm_thesis_stu_mptrcs_t1_13_int,thesis_stu_mptrcs_t1_13,fac_mptrcs_03,internal_evaluator,True
comm_thesis_stu_mptrcs_t1_13_ext,thesis_stu_mptrcs_t1_13,fac_mptrcs_04,external_evaluator,True
comm_thesis_stu_mptrcs_t1_14_adv,thesis_stu_mptrcs_t1_14,fac_mptrcs_02,advisor,True
comm_thesis_stu_mptrcs_t1_14_int,thesis_stu_mptrcs_t1_14,fac_mptrcs_04,internal_evaluator,True
comm_thesis_stu_mptrcs_t1_14_ext,thesis_stu_mptrcs_t1_14,fac_mptrcs_05,external_evaluator,True
comm_thesis_stu_mptrcs_t1_15_adv,thesis_stu_mptrcs_t1_15,fac_mptrcs_03,advisor,True
comm_thesis_stu_mptrcs_t1_15_int,thesis_stu_mptrcs_t1_15,fac_mptrcs_05,internal_evaluator,True
comm_thesis_stu_mptrcs_t1_15_ext,thesis_stu_mptrcs_t1_15,fac_mptrcs_06,external_evaluator,True
comm_thesis_stu_mptrcs_t2_01_adv,thesis_stu_mptrcs_t2_01,fac_mptrcs_04,advisor,True
comm_thesis_stu_mptrcs_t2_01_int,thesis_stu_mptrcs_t2_01,fac_mptrcs_06,internal_evaluator,True
comm_thesis_stu_mptrcs_t2_01_ext,thesis_stu_mptrcs_t2_01,fac_mptrcs_07,external_evaluator,True
comm_thesis_stu_mptrcs_t2_02_adv,thesis_stu_mptrcs_t2_02,fac_mptrcs_05,advisor,True
comm_thesis_stu_mptrcs_t2_02_int,thesis_stu_mptrcs_t2_02,fac_mptrcs_07,internal_evaluator,True
comm_thesis_stu_mptrcs_t2_02_ext,thesis_stu_mptrcs_t2_02,fac_mptrcs_08,external_evaluator,True
comm_thesis_stu_mptrcs_t2_03_adv,thesis_stu_mptrcs_t2_03,fac_mptrcs_06,advisor,True
comm_thesis_stu_mptrcs_t2_03_int,thesis_stu_mptrcs_t2_03,fac_mptrcs_08,internal_evaluator,True
comm_thesis_stu_mptrcs_t2_03_ext,thesis_stu_mptrcs_t2_03,fac_mptrcs_09,external_evaluator,True
comm_thesis_stu_mptrcs_t2_04_adv,thesis_stu_mptrcs_t2_04,fac_mptrcs_07,advisor,True
comm_thesis_stu_mptrcs_t2_04_int,thesis_stu_mptrcs_t2_04,fac_mptrcs_09,internal_evaluator,True
comm_thesis_stu_mptrcs_t2_04_ext,thesis_stu_mptrcs_t2_04,fac_mptrcs_10,external_evaluator,True
comm_thesis_stu_mptrcs_t2_05_adv,thesis_stu_mptrcs_t2_05,fac_mptrcs_08,advisor,True
comm_thesis_stu_mptrcs_t2_05_int,thesis_stu_mptrcs_t2_05,fac_mptrcs_10,internal_evaluator,True
comm_thesis_stu_mptrcs_t2_05_ext,thesis_stu_mptrcs_t2_05,fac_mptrcs_11,external_evaluator,True
comm_thesis_stu_mptrcs_t2_06_adv,thesis_stu_mptrcs_t2_06,fac_mptrcs_09,advisor,True
comm_thesis_stu_mptrcs_t2_06_int,thesis_stu_mptrcs_t2_06,fac_mptrcs_11,internal_evaluator,True
