id,product_id/id,partner_id/id,author_role,ip_share
auth_ptt_stu_mptrcs_t1_01_stu,ptt_stu_mptrcs_t1_01,stu_mptrcs_t1_01,main_dev,60.0
auth_ptt_stu_mptrcs_t1_01_adv,ptt_stu_mptrcs_t1_01,fac_mptrcs_01,advisor,40.0
auth_ptt_stu_mptrcs_t1_02_stu,ptt_stu_mptrcs_t1_02,stu_mptrcs_t1_02,main_dev,60.0
auth_ptt_stu_mptrcs_t1_02_adv,ptt_stu_mptrcs_t1_02,fac_mptrcs_02,advisor,40.0
auth_ptt_stu_mptrcs_t1_03_stu,ptt_stu_mptrcs_t1_03,stu_mptrcs_t1_03,main_dev,60.0
auth_ptt_stu_mptrcs_t1_03_adv,ptt_stu_mptrcs_t1_03,fac_mptrcs_03,advisor,40.0
auth_ptt_stu_mptrcs_t1_04_stu,ptt_stu_mptrcs_t1_04,stu_mptrcs_t1_04,main_dev,60.0
auth_ptt_stu_mptrcs_t1_04_adv,ptt_stu_mptrcs_t1_04,fac_mptrcs_04,advisor,40.0
auth_ptt_stu_mptrcs_t1_05_stu,ptt_stu_mptrcs_t1_05,stu_mptrcs_t1_05,main_dev,60.0
auth_ptt_stu_mptrcs_t1_05_adv,ptt_stu_mptrcs_t1_05,fac_mptrcs_05,advisor,40.0
auth_ptt_stu_mptrcs_t1_06_stu,ptt_stu_mptrcs_t1_06,stu_mptrcs_t1_06,main_dev,60.0
auth_ptt_stu_mptrcs_t1_06_adv,ptt_stu_mptrcs_t1_06,fac_mptrcs_06,advisor,40.0
auth_ptt_stu_mptrcs_t1_07_stu,ptt_stu_mptrcs_t1_07,stu_mptrcs_t1_07,main_dev,60.0
auth_ptt_stu_mptrcs_t1_07_adv,ptt_stu_mptrcs_t1_07,fac_mptrcs_07,advisor,40.0
auth_ptt_stu_mptrcs_t1_08_stu,ptt_stu_mptrcs_t1_08,stu_mptrcs_t1_08,main_dev,60.0
auth_ptt_stu_mptrcs_t1_08_adv,ptt_stu_mptrcs_t1_08,fac_mptrcs_08,advisor,40.0
auth_ptt_stu_mptrcs_t1_09_stu,ptt_stu_mptrcs_t1_09,stu_mptrcs_t1_09,main_dev,60.0
auth_ptt_stu_mptrcs_t1_09_adv,ptt_stu_mptrcs_t1_09,fac_mptrcs_09,advisor,40.0
auth_ptt_stu_mptrcs_t1_10_stu,ptt_stu_mptrcs_t1_10,stu_mptrcs_t1_10,main_dev,60.0
auth_ptt_stu_mptrcs_t1_10_adv,ptt_stu_mptrcs_t1_10,fac_mptrcs_10,advisor,40.0
auth_ptt_stu_mptrcs_t1_11_stu,ptt_stu_mptrcs_t1_11,stu_mptrcs_t1_11,main_dev,60.0
auth_ptt_stu_mptrcs_t1_11_adv,ptt_stu_mptrcs_t1_11,fac_mptrcs_11,advisor,40.0
auth_ptt_stu_mptrcs_t1_12_stu,ptt_stu_mptrcs_t1_12,stu_mptrcs_t1_12,main_dev,60.0
auth_ptt_stu_mptrcs_t1_12_adv,ptt_stu_mptrcs_t1_12,fac_mptrcs_12,advisor,40.0
auth_ptt_stu_mptrcs_t1_13_stu,ptt_stu_mptrcs_t1_13,stu_mptrcs_t1_13,main_dev,60.0
auth_ptt_stu_mptrcs_t1_13_adv,ptt_stu_mptrcs_t1_13,fac_mptrcs_01,advisor,40.0
auth_ptt_stu_mptrcs_t1_14_stu,ptt_stu_mptrcs_t1_14,stu_mptrcs_t1_14,main_dev,60.0
auth_ptt_stu_mptrcs_t1_14_adv,ptt_stu_mptrcs_t1_14,fac_mptrcs_02,advisor,40.0
auth_ptt_stu_mptrcs_t1_15_stu,ptt_stu_mptrcs_t1_15,stu_mptrcs_t1_15,main_dev,60.0
auth_ptt_stu_mptrcs_t1_15_adv,ptt_stu_mptrcs_t1_15,fac_mptrcs_03,advisor,40.0
auth_ptt_stu_mptrcs_t2_01_stu,ptt_stu_mptrcs_t2_01,stu_mptrcs_t2_01,main_dev,60.0
auth_ptt_stu_mptrcs_t2_01_adv,ptt_stu_mptrcs_t2_01,fac_mptrcs_04,advisor,40.0
auth_ptt_stu_mptrcs_t2_02_stu,ptt_stu_mptrcs_t2_02,stu_mptrcs_t2_02,main_dev,60.0
auth_ptt_stu_mptrcs_t2_02_adv,ptt_stu_mptrcs_t2_02,fac_mptrcs_05,advisor,40.0
auth_ptt_stu_mptrcs_t2_03_stu,ptt_stu_mptrcs_t2_03,stu_mptrcs_t2_03,main_dev,60.0
auth_ptt_stu_mptrcs_t2_03_adv,ptt_stu_mptrcs_t2_03,fac_mptrcs_06,advisor,40.0
