id,student_id/id,thesis_id/id,degree_type,issuing_ies_type,emission_format,origin_ies_name,issuing_ies_name,diploma_process_number,registration_book_number,registration_page_number,graduation_date,registration_date,state
diploma_stu_mptrcs_t1_01,stu_mptrcs_t1_01,thesis_stu_mptrcs_t1_01,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2024-0001,LV-2024,001,2024-04-15,2024-06-20,signed
diploma_stu_mptrcs_t1_02,stu_mptrcs_t1_02,thesis_stu_mptrcs_t1_02,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2024-0002,LV-2024,002,2024-04-15,2024-06-20,signed
diploma_stu_mptrcs_t1_03,stu_mptrcs_t1_03,thesis_stu_mptrcs_t1_03,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2024-0003,LV-2024,003,2024-04-15,2024-06-20,signed
diploma_stu_mptrcs_t1_04,stu_mptrcs_t1_04,thesis_stu_mptrcs_t1_04,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2024-0004,LV-2024,004,2024-04-15,2024-06-20,signed
diploma_stu_mptrcs_t1_05,stu_mptrcs_t1_05,thesis_stu_mptrcs_t1_05,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2024-0005,LV-2024,005,2024-04-15,2024-06-20,signed
diploma_stu_mptrcs_t1_06,stu_mptrcs_t1_06,thesis_stu_mptrcs_t1_06,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2024-0006,LV-2024,006,2024-04-15,2024-06-20,signed
diploma_stu_mptrcs_t1_07,stu_mptrcs_t1_07,thesis_stu_mptrcs_t1_07,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2024-0007,LV-2024,007,2024-04-15,2024-06-20,signed
diploma_stu_mptrcs_t1_08,stu_mptrcs_t1_08,thesis_stu_mptrcs_t1_08,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2024-0008,LV-2024,008,2024-04-15,2024-06-20,signed
diploma_stu_mptrcs_t1_09,stu_mptrcs_t1_09,thesis_stu_mptrcs_t1_09,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2024-0009,LV-2024,009,2024-04-15,2024-06-20,signed
diploma_stu_mptrcs_t1_10,stu_mptrcs_t1_10,thesis_stu_mptrcs_t1_10,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2024-0010,LV-2024,010,2024-04-15,2024-06-20,signed
diploma_stu_mptrcs_t1_11,stu_mptrcs_t1_11,thesis_stu_mptrcs_t1_11,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2024-0011,LV-2024,011,2024-04-15,2024-06-20,signed
diploma_stu_mptrcs_t1_12,stu_mptrcs_t1_12,thesis_stu_mptrcs_t1_12,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2024-0012,LV-2024,012,2024-04-15,2024-06-20,signed
diploma_stu_mptrcs_t1_13,stu_mptrcs_t1_13,thesis_stu_mptrcs_t1_13,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2024-0013,LV-2024,013,2024-04-15,2024-06-20,signed
diploma_stu_mptrcs_t1_14,stu_mptrcs_t1_14,thesis_stu_mptrcs_t1_14,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2024-0014,LV-2024,014,2024-04-15,2024-06-20,signed
diploma_stu_mptrcs_t1_15,stu_mptrcs_t1_15,thesis_stu_mptrcs_t1_15,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2024-0015,LV-2024,015,2024-04-15,2024-06-20,signed
diploma_stu_mptrcs_t2_01,stu_mptrcs_t2_01,thesis_stu_mptrcs_t2_01,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2025-0016,LV-2025,001,2025-04-15,2025-06-20,signed
diploma_stu_mptrcs_t2_02,stu_mptrcs_t2_02,thesis_stu_mptrcs_t2_02,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2025-0017,LV-2025,002,2025-04-15,2025-06-20,signed
diploma_stu_mptrcs_t2_03,stu_mptrcs_t2_03,thesis_stu_mptrcs_t2_03,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2025-0018,LV-2025,003,2025-04-15,2025-06-20,signed
diploma_stu_mptrcs_t2_04,stu_mptrcs_t2_04,thesis_stu_mptrcs_t2_04,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2025-0019,LV-2025,004,2025-04-15,2025-06-20,signed
diploma_stu_mptrcs_t2_05,stu_mptrcs_t2_05,thesis_stu_mptrcs_t2_05,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2025-0020,LV-2025,005,2025-04-15,2025-06-20,signed
diploma_stu_mptrcs_t2_06,stu_mptrcs_t2_06,thesis_stu_mptrcs_t2_06,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2025-0021,LV-2025,006,2025-04-15,2025-06-20,signed
diploma_stu_mptrcs_t2_07,stu_mptrcs_t2_07,thesis_stu_mptrcs_t2_07,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2025-0022,LV-2025,007,2025-04-15,2025-06-20,signed
diploma_stu_mptrcs_t2_08,stu_mptrcs_t2_08,thesis_stu_mptrcs_t2_08,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2025-0023,LV-2025,008,2025-04-15,2025-06-20,signed
diploma_stu_mptrcs_t2_09,stu_mptrcs_t2_09,thesis_stu_mptrcs_t2_09,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2025-0024,LV-2025,009,2025-04-15,2025-06-20,signed
diploma_stu_mptrcs_t2_10,stu_mptrcs_t2_10,thesis_stu_mptrcs_t2_10,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2025-0025,LV-2025,010,2025-04-15,2025-06-20,signed
diploma_stu_mptrcs_t2_11,stu_mptrcs_t2_11,thesis_stu_mptrcs_t2_11,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2025-0026,LV-2025,011,2025-04-15,2025-06-20,signed
diploma_stu_mptrcs_t2_12,stu_mptrcs_t2_12,thesis_stu_mptrcs_t2_12,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2025-0027,LV-2025,012,2025-04-15,2025-06-20,signed
diploma_stu_mptrcs_t2_13,stu_mptrcs_t2_13,thesis_stu_mptrcs_t2_13,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2025-0028,LV-2025,013,2025-04-15,2025-06-20,signed
diploma_stu_mptrcs_t2_14,stu_mptrcs_t2_14,thesis_stu_mptrcs_t2_14,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2025-0029,LV-2025,014,2025-04-15,2025-06-20,signed
diploma_stu_mptrcs_t2_15,stu_mptrcs_t2_15,thesis_stu_mptrcs_t2_15,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2025-0030,LV-2025,015,2025-04-15,2025-06-20,signed
diploma_stu_mptrcs_t3_01,stu_mptrcs_t3_01,thesis_stu_mptrcs_t3_01,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2026-0031,LV-2026,001,2026-04-15,2026-06-20,signed
diploma_stu_mptrcs_t3_02,stu_mptrcs_t3_02,thesis_stu_mptrcs_t3_02,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2026-0032,LV-2026,002,2026-04-15,2026-06-20,signed
diploma_stu_mptrcs_t3_03,stu_mptrcs_t3_03,thesis_stu_mptrcs_t3_03,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2026-0033,LV-2026,003,2026-04-15,2026-06-20,signed
diploma_stu_mptrcs_t3_04,stu_mptrcs_t3_04,thesis_stu_mptrcs_t3_04,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2026-0034,LV-2026,004,2026-04-15,2026-06-20,signed
diploma_stu_mptrcs_t3_05,stu_mptrcs_t3_05,thesis_stu_mptrcs_t3_05,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2026-0035,LV-2026,005,2026-04-15,2026-06-20,signed
diploma_stu_mptrcs_t3_06,stu_mptrcs_t3_06,thesis_stu_mptrcs_t3_06,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2026-0036,LV-2026,006,2026-04-15,2026-06-20,signed
diploma_stu_mptrcs_t3_07,stu_mptrcs_t3_07,thesis_stu_mptrcs_t3_07,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2026-0037,LV-2026,007,2026-04-15,2026-06-20,signed
diploma_stu_mptrcs_t3_08,stu_mptrcs_t3_08,thesis_stu_mptrcs_t3_08,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2026-0038,LV-2026,008,2026-04-15,2026-06-20,signed
diploma_stu_mptrcs_t3_09,stu_mptrcs_t3_09,thesis_stu_mptrcs_t3_09,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2026-0039,LV-2026,009,2026-04-15,2026-06-20,signed
diploma_stu_mptrcs_t3_10,stu_mptrcs_t3_10,thesis_stu_mptrcs_t3_10,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2026-0040,LV-2026,010,2026-04-15,2026-06-20,signed
diploma_stu_mptrcs_t3_11,stu_mptrcs_t3_11,thesis_stu_mptrcs_t3_11,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2026-0041,LV-2026,011,2026-04-15,2026-06-20,signed
diploma_stu_mptrcs_t3_12,stu_mptrcs_t3_12,thesis_stu_mptrcs_t3_12,master,external_registering_university,digital,Instituto de Pesquisas Energéticas e Nucleares - IPEN-CNEN/SP,Universidade de São Paulo - USP,USP-PRPG-2026-0042,LV-2026,012,2026-04-15,2026-06-20,signed
