id,faculty_id/id,link_type,program_id/id,external_ies_name,external_program_name,external_snpg_code,faculty_category,weekly_hours
link_fac_xyzq_01_prog_xyzq_cc,fac_xyzq_01,internal,prog_xyzq_cc,,,,permanent,20
link_fac_xyzq_02_prog_xyzq_cc,fac_xyzq_02,internal,prog_xyzq_cc,,,,permanent,20
link_fac_xyzq_03_prog_xyzq_cc,fac_xyzq_03,internal,prog_xyzq_cc,,,,permanent,20
link_fac_xyzq_04_prog_xyzq_cc,fac_xyzq_04,internal,prog_xyzq_cc,,,,permanent,20
link_fac_xyzq_05_prog_xyzq_cc,fac_xyzq_05,internal,prog_xyzq_cc,,,,permanent,20
link_fac_xyzq_06_prog_xyzq_cc,fac_xyzq_06,internal,prog_xyzq_cc,,,,permanent,20
link_fac_xyzq_07_prog_xyzq_cc,fac_xyzq_07,internal,prog_xyzq_cc,,,,collaborator,8
link_fac_xyzq_08_prog_xyzq_cc,fac_xyzq_08,internal,prog_xyzq_cc,,,,permanent,20
link_fac_xyzq_09_prog_xyzq_cc,fac_xyzq_09,internal,prog_xyzq_cc,,,,permanent,20
link_fac_xyzq_10_prog_xyzq_cc,fac_xyzq_10,internal,prog_xyzq_cc,,,,permanent,20
link_fac_xyzq_11_prog_xyzq_cc,fac_xyzq_11,internal,prog_xyzq_cc,,,,permanent,20
link_fac_xyzq_12_prog_xyzq_cc,fac_xyzq_12,internal,prog_xyzq_cc,,,,permanent,20
link_fac_xyzq_13_prog_xyzq_cc,fac_xyzq_13,internal,prog_xyzq_cc,,,,permanent,20
link_fac_xyzq_07_prog_xyzq_fis,fac_xyzq_07,internal,prog_xyzq_fis,,,,permanent,20
link_fac_xyzq_08_prog_xyzq_fis,fac_xyzq_08,internal,prog_xyzq_fis,,,,permanent,20
link_fac_xyzq_09_prog_xyzq_fis,fac_xyzq_09,internal,prog_xyzq_fis,,,,permanent,20
link_fac_xyzq_10_prog_xyzq_fis,fac_xyzq_10,internal,prog_xyzq_fis,,,,permanent,20
link_fac_xyzq_11_prog_xyzq_fis,fac_xyzq_11,internal,prog_xyzq_fis,,,,permanent,20
link_fac_xyzq_12_prog_xyzq_fis,fac_xyzq_12,internal,prog_xyzq_fis,,,,permanent,20
link_fac_xyzq_13_prog_xyzq_fis,fac_xyzq_13,internal,prog_xyzq_fis,,,,collaborator,8
link_fac_xyzq_14_prog_xyzq_fis,fac_xyzq_14,internal,prog_xyzq_fis,,,,permanent,20
link_fac_xyzq_15_prog_xyzq_fis,fac_xyzq_15,internal,prog_xyzq_fis,,,,permanent,20
link_fac_xyzq_16_prog_xyzq_fis,fac_xyzq_16,internal,prog_xyzq_fis,,,,permanent,20
link_fac_xyzq_17_prog_xyzq_fis,fac_xyzq_17,internal,prog_xyzq_fis,,,,permanent,20
link_fac_xyzq_18_prog_xyzq_fis,fac_xyzq_18,internal,prog_xyzq_fis,,,,permanent,20
link_fac_xyzq_19_prog_xyzq_fis,fac_xyzq_19,internal,prog_xyzq_fis,,,,permanent,20
link_fac_xyzq_13_prog_xyzq_bio,fac_xyzq_13,internal,prog_xyzq_bio,,,,permanent,20
link_fac_xyzq_14_prog_xyzq_bio,fac_xyzq_14,internal,prog_xyzq_bio,,,,permanent,20
link_fac_xyzq_15_prog_xyzq_bio,fac_xyzq_15,internal,prog_xyzq_bio,,,,permanent,20
link_fac_xyzq_16_prog_xyzq_bio,fac_xyzq_16,internal,prog_xyzq_bio,,,,permanent,20
link_fac_xyzq_17_prog_xyzq_bio,fac_xyzq_17,internal,prog_xyzq_bio,,,,permanent,20
link_fac_xyzq_18_prog_xyzq_bio,fac_xyzq_18,internal,prog_xyzq_bio,,,,permanent,20
link_fac_xyzq_19_prog_xyzq_bio,fac_xyzq_19,internal,prog_xyzq_bio,,,,permanent,20
link_fac_xyzq_20_prog_xyzq_bio,fac_xyzq_20,internal,prog_xyzq_bio,,,,permanent,20
link_fac_xyzq_21_prog_xyzq_bio,fac_xyzq_21,internal,prog_xyzq_bio,,,,permanent,20
link_fac_xyzq_22_prog_xyzq_bio,fac_xyzq_22,internal,prog_xyzq_bio,,,,permanent,20
link_fac_xyzq_23_prog_xyzq_bio,fac_xyzq_23,internal,prog_xyzq_bio,,,,permanent,20
link_fac_xyzq_24_prog_xyzq_bio,fac_xyzq_24,internal,prog_xyzq_bio,,,,permanent,20
link_fac_xyzq_25_prog_xyzq_bio,fac_xyzq_25,internal,prog_xyzq_bio,,,,permanent,20
link_fac_xyzq_01_prog_xyzq_mpe,fac_xyzq_01,internal,prog_xyzq_mpe,,,,collaborator,8
link_fac_xyzq_02_prog_xyzq_mpe,fac_xyzq_02,internal,prog_xyzq_mpe,,,,permanent,20
link_fac_xyzq_03_prog_xyzq_mpe,fac_xyzq_03,internal,prog_xyzq_mpe,,,,permanent,20
link_fac_xyzq_04_prog_xyzq_mpe,fac_xyzq_04,internal,prog_xyzq_mpe,,,,permanent,20
link_fac_xyzq_05_prog_xyzq_mpe,fac_xyzq_05,internal,prog_xyzq_mpe,,,,permanent,20
link_fac_xyzq_08_prog_xyzq_mpe,fac_xyzq_08,internal,prog_xyzq_mpe,,,,permanent,20
