id,program_link_id/id,category,start_date,end_date,document_ref,notes
fac_led_001,link_fac_xyzq_01_prog_xyzq_cc,permanent,2022-01-01,,Portaria CPG-XYZQ 001/2022,Credenciamento Permanente Docente Homologado
fac_led_002,link_fac_xyzq_02_prog_xyzq_cc,permanent,2022-01-01,,Portaria CPG-XYZQ 002/2022,Credenciamento Permanente Docente Homologado
fac_led_003,link_fac_xyzq_03_prog_xyzq_cc,permanent,2022-01-01,,Portaria CPG-XYZQ 003/2022,Credenciamento Permanente Docente Homologado
fac_led_004,link_fac_xyzq_04_prog_xyzq_cc,permanent,2022-01-01,,Portaria CPG-XYZQ 004/2022,Credenciamento Permanente Docente Homologado
fac_led_005,link_fac_xyzq_05_prog_xyzq_cc,permanent,2022-01-01,,Portaria CPG-XYZQ 005/2022,Credenciamento Permanente Docente Homologado
fac_led_006,link_fac_xyzq_06_prog_xyzq_cc,permanent,2022-01-01,,Portaria CPG-XYZQ 006/2022,Credenciamento Permanente Docente Homologado
fac_led_007,link_fac_xyzq_07_prog_xyzq_cc,permanent,2022-01-01,,Portaria CPG-XYZQ 007/2022,Credenciamento Permanente Docente Homologado
fac_led_008,link_fac_xyzq_08_prog_xyzq_cc,permanent,2022-01-01,,Portaria CPG-XYZQ 008/2022,Credenciamento Permanente Docente Homologado
fac_led_009,link_fac_xyzq_09_prog_xyzq_cc,permanent,2022-01-01,,Portaria CPG-XYZQ 009/2022,Credenciamento Permanente Docente Homologado
fac_led_010,link_fac_xyzq_10_prog_xyzq_cc,permanent,2022-01-01,,Portaria CPG-XYZQ 010/2022,Credenciamento Permanente Docente Homologado
fac_led_011,link_fac_xyzq_11_prog_xyzq_cc,permanent,2022-01-01,,Portaria CPG-XYZQ 011/2022,Credenciamento Permanente Docente Homologado
fac_led_012,link_fac_xyzq_12_prog_xyzq_cc,permanent,2022-01-01,,Portaria CPG-XYZQ 012/2022,Credenciamento Permanente Docente Homologado
fac_led_013,link_fac_xyzq_13_prog_xyzq_cc,permanent,2022-01-01,,Portaria CPG-XYZQ 013/2022,Credenciamento Permanente Docente Homologado
fac_led_014,link_fac_xyzq_07_prog_xyzq_fis,permanent,2022-01-01,,Portaria CPG-XYZQ 014/2022,Credenciamento Permanente Docente Homologado
fac_led_015,link_fac_xyzq_08_prog_xyzq_fis,permanent,2022-01-01,,Portaria CPG-XYZQ 015/2022,Credenciamento Permanente Docente Homologado
fac_led_016,link_fac_xyzq_09_prog_xyzq_fis,permanent,2022-01-01,,Portaria CPG-XYZQ 016/2022,Credenciamento Permanente Docente Homologado
fac_led_017,link_fac_xyzq_10_prog_xyzq_fis,permanent,2022-01-01,,Portaria CPG-XYZQ 017/2022,Credenciamento Permanente Docente Homologado
fac_led_018,link_fac_xyzq_11_prog_xyzq_fis,permanent,2022-01-01,,Portaria CPG-XYZQ 018/2022,Credenciamento Permanente Docente Homologado
fac_led_019,link_fac_xyzq_12_prog_xyzq_fis,permanent,2022-01-01,,Portaria CPG-XYZQ 019/2022,Credenciamento Permanente Docente Homologado
fac_led_020,link_fac_xyzq_13_prog_xyzq_fis,permanent,2022-01-01,,Portaria CPG-XYZQ 020/2022,Credenciamento Permanente Docente Homologado
fac_led_021,link_fac_xyzq_14_prog_xyzq_fis,permanent,2022-01-01,,Portaria CPG-XYZQ 021/2022,Credenciamento Permanente Docente Homologado
fac_led_022,link_fac_xyzq_15_prog_xyzq_fis,permanent,2022-01-01,,Portaria CPG-XYZQ 022/2022,Credenciamento Permanente Docente Homologado
fac_led_023,link_fac_xyzq_16_prog_xyzq_fis,permanent,2022-01-01,,Portaria CPG-XYZQ 023/2022,Credenciamento Permanente Docente Homologado
fac_led_024,link_fac_xyzq_17_prog_xyzq_fis,permanent,2022-01-01,,Portaria CPG-XYZQ 024/2022,Credenciamento Permanente Docente Homologado
fac_led_025,link_fac_xyzq_18_prog_xyzq_fis,permanent,2022-01-01,,Portaria CPG-XYZQ 025/2022,Credenciamento Permanente Docente Homologado
fac_led_026,link_fac_xyzq_19_prog_xyzq_fis,permanent,2022-01-01,,Portaria CPG-XYZQ 026/2022,Credenciamento Permanente Docente Homologado
fac_led_027,link_fac_xyzq_13_prog_xyzq_bio,permanent,2022-01-01,,Portaria CPG-XYZQ 027/2022,Credenciamento Permanente Docente Homologado
fac_led_028,link_fac_xyzq_14_prog_xyzq_bio,permanent,2022-01-01,,Portaria CPG-XYZQ 028/2022,Credenciamento Permanente Docente Homologado
fac_led_029,link_fac_xyzq_15_prog_xyzq_bio,permanent,2022-01-01,,Portaria CPG-XYZQ 029/2022,Credenciamento Permanente Docente Homologado
fac_led_030,link_fac_xyzq_16_prog_xyzq_bio,permanent,2022-01-01,,Portaria CPG-XYZQ 030/2022,Credenciamento Permanente Docente Homologado
fac_led_031,link_fac_xyzq_17_prog_xyzq_bio,permanent,2022-01-01,,Portaria CPG-XYZQ 031/2022,Credenciamento Permanente Docente Homologado
fac_led_032,link_fac_xyzq_18_prog_xyzq_bio,permanent,2022-01-01,,Portaria CPG-XYZQ 032/2022,Credenciamento Permanente Docente Homologado
fac_led_033,link_fac_xyzq_19_prog_xyzq_bio,permanent,2022-01-01,,Portaria CPG-XYZQ 033/2022,Credenciamento Permanente Docente Homologado
fac_led_034,link_fac_xyzq_20_prog_xyzq_bio,permanent,2022-01-01,,Portaria CPG-XYZQ 034/2022,Credenciamento Permanente Docente Homologado
fac_led_035,link_fac_xyzq_21_prog_xyzq_bio,permanent,2022-01-01,,Portaria CPG-XYZQ 035/2022,Credenciamento Permanente Docente Homologado
fac_led_036,link_fac_xyzq_22_prog_xyzq_bio,permanent,2022-01-01,,Portaria CPG-XYZQ 036/2022,Credenciamento Permanente Docente Homologado
fac_led_037,link_fac_xyzq_23_prog_xyzq_bio,permanent,2022-01-01,,Portaria CPG-XYZQ 037/2022,Credenciamento Permanente Docente Homologado
fac_led_038,link_fac_xyzq_24_prog_xyzq_bio,permanent,2022-01-01,,Portaria CPG-XYZQ 038/2022,Credenciamento Permanente Docente Homologado
fac_led_039,link_fac_xyzq_25_prog_xyzq_bio,permanent,2022-01-01,,Portaria CPG-XYZQ 039/2022,Credenciamento Permanente Docente Homologado
fac_led_040,link_fac_xyzq_01_prog_xyzq_mpe,permanent,2022-01-01,,Portaria CPG-XYZQ 040/2022,Credenciamento Permanente Docente Homologado
fac_led_041,link_fac_xyzq_02_prog_xyzq_mpe,permanent,2022-01-01,,Portaria CPG-XYZQ 041/2022,Credenciamento Permanente Docente Homologado
fac_led_042,link_fac_xyzq_03_prog_xyzq_mpe,permanent,2022-01-01,,Portaria CPG-XYZQ 042/2022,Credenciamento Permanente Docente Homologado
fac_led_043,link_fac_xyzq_04_prog_xyzq_mpe,permanent,2022-01-01,,Portaria CPG-XYZQ 043/2022,Credenciamento Permanente Docente Homologado
fac_led_044,link_fac_xyzq_05_prog_xyzq_mpe,permanent,2022-01-01,,Portaria CPG-XYZQ 044/2022,Credenciamento Permanente Docente Homologado
fac_led_045,link_fac_xyzq_08_prog_xyzq_mpe,permanent,2022-01-01,,Portaria CPG-XYZQ 045/2022,Credenciamento Permanente Docente Homologado
fac_led_046,link_fac_xyzq_09_prog_xyzq_mpe,permanent,2022-01-01,,Portaria CPG-XYZQ 046/2022,Credenciamento Permanente Docente Homologado
fac_led_047,link_fac_xyzq_10_prog_xyzq_mpe,permanent,2022-01-01,,Portaria CPG-XYZQ 047/2022,Credenciamento Permanente Docente Homologado
fac_led_048,link_fac_xyzq_20_prog_xyzq_mpe,permanent,2022-01-01,,Portaria CPG-XYZQ 048/2022,Credenciamento Permanente Docente Homologado
fac_led_049,link_fac_xyzq_21_prog_xyzq_mpe,permanent,2022-01-01,,Portaria CPG-XYZQ 049/2022,Credenciamento Permanente Docente Homologado
fac_led_050,link_fac_xyzq_22_prog_xyzq_mpe,permanent,2022-01-01,,Portaria CPG-XYZQ 050/2022,Credenciamento Permanente Docente Homologado
fac_led_051,link_fac_xyzq_23_prog_xyzq_mpe,permanent,2022-01-01,,Portaria CPG-XYZQ 051/2022,Credenciamento Permanente Docente Homologado
fac_led_052,link_fac_xyzq_24_prog_xyzq_mpe,permanent,2022-01-01,,Portaria CPG-XYZQ 052/2022,Credenciamento Permanente Docente Homologado
