id,thesis_id/id,member_id/id,member_role,is_titular
comm_thesis_stu_ppgcc_01_adv,thesis_stu_ppgcc_01,fac_xyzq_01,advisor,True
comm_thesis_stu_ppgcc_01_int,thesis_stu_ppgcc_01,fac_xyzq_03,internal_evaluator,True
comm_thesis_stu_ppgcc_01_ext,thesis_stu_ppgcc_01,fac_xyzq_04,external_evaluator,True
comm_thesis_stu_ppgcc_02_adv,thesis_stu_ppgcc_02,fac_xyzq_02,advisor,True
comm_thesis_stu_ppgcc_02_int,thesis_stu_ppgcc_02,fac_xyzq_04,internal_evaluator,True
comm_thesis_stu_ppgcc_02_ext,thesis_stu_ppgcc_02,fac_xyzq_05,external_evaluator,True
comm_thesis_stu_ppgcc_03_adv,thesis_stu_ppgcc_03,fac_xyzq_03,advisor,True
comm_thesis_stu_ppgcc_03_int,thesis_stu_ppgcc_03,fac_xyzq_05,internal_evaluator,True
comm_thesis_stu_ppgcc_03_ext,thesis_stu_ppgcc_03,fac_xyzq_06,external_evaluator,True
comm_thesis_stu_ppgcc_04_adv,thesis_stu_ppgcc_04,fac_xyzq_04,advisor,True
comm_thesis_stu_ppgcc_04_int,thesis_stu_ppgcc_04,fac_xyzq_06,internal_evaluator,True
comm_thesis_stu_ppgcc_04_ext,thesis_stu_ppgcc_04,fac_xyzq_07,external_evaluator,True
comm_thesis_stu_ppgcc_05_adv,thesis_stu_ppgcc_05,fac_xyzq_05,advisor,True
comm_thesis_stu_ppgcc_05_int,thesis_stu_ppgcc_05,fac_xyzq_07,internal_evaluator,True
comm_thesis_stu_ppgcc_05_ext,thesis_stu_ppgcc_05,fac_xyzq_08,external_evaluator,True
comm_thesis_stu_ppgcc_06_adv,thesis_stu_ppgcc_06,fac_xyzq_06,advisor,True
comm_thesis_stu_ppgcc_06_int,thesis_stu_ppgcc_06,fac_xyzq_08,internal_evaluator,True
comm_thesis_stu_ppgcc_06_ext,thesis_stu_ppgcc_06,fac_xyzq_09,external_evaluator,True
comm_thesis_stu_ppgcc_07_adv,thesis_stu_ppgcc_07,fac_xyzq_07,advisor,True
comm_thesis_stu_ppgcc_07_int,thesis_stu_ppgcc_07,fac_xyzq_09,internal_evaluator,True
comm_thesis_stu_ppgcc_07_ext,thesis_stu_ppgcc_07,fac_xyzq_10,external_evaluator,True
