id,student_id/id,thesis_id/id,degree_type,issuing_ies_type,emission_format,origin_ies_name,issuing_ies_name,diploma_process_number,registration_book_number,registration_page_number,graduation_date,registration_date,state
diploma_stu_ppgcc_01,stu_ppgcc_01,thesis_stu_ppgcc_01,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0101,LV-2026,001,2026-03-31,2026-05-15,signed
diploma_stu_ppgcc_02,stu_ppgcc_02,thesis_stu_ppgcc_02,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0102,LV-2026,002,2026-03-31,2026-05-15,signed
diploma_stu_ppgcc_03,stu_ppgcc_03,thesis_stu_ppgcc_03,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0103,LV-2026,003,2026-03-31,2026-05-15,signed
diploma_stu_ppgcc_04,stu_ppgcc_04,thesis_stu_ppgcc_04,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0104,LV-2026,004,2026-03-31,2026-05-15,signed
diploma_stu_ppgcc_05,stu_ppgcc_05,thesis_stu_ppgcc_05,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0105,LV-2026,005,2026-03-31,2026-05-15,signed
diploma_stu_ppgcc_06,stu_ppgcc_06,thesis_stu_ppgcc_06,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0106,LV-2026,006,2026-03-31,2026-05-15,signed
diploma_stu_ppgcc_07,stu_ppgcc_07,thesis_stu_ppgcc_07,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0107,LV-2026,007,2026-03-31,2026-05-15,signed
diploma_stu_ppgcc_08,stu_ppgcc_08,thesis_stu_ppgcc_08,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0108,LV-2026,008,2026-03-31,2026-05-15,signed
diploma_stu_ppgfa_01,stu_ppgfa_01,thesis_stu_ppgfa_01,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0121,LV-2026,001,2026-03-31,2026-05-15,signed
diploma_stu_ppgfa_02,stu_ppgfa_02,thesis_stu_ppgfa_02,master,autonomous_university,digital,Universidade XYZQ,Universidade XYZQ,XYZQ-PRPG-2026-0122,LV-2026,002,2026-03-31,2026-05-15,signed
